symbol,long_venue,short_venue,hours,coverage_pct,mean_bps_h,median_bps_h,stdev_bps_h,same_sign_frac,longest_run_h,carry_24h_p10,carry_24h_p50,carry_24h_p90,carry_24h_hit_frac,carry_7d_p10,carry_7d_p50,carry_7d_p90,carry_7d_hit_frac,hours_to_hurdle,annualised_pct,basis_hours,basis_mean_bps,basis_std_bps,basis_7d_move_max,basis_7d_move_p90,edge_7d_bps,windows_7d,rankable,mean_funding_long,mean_funding_short
TSLA,LIGHTER,HL,1440,100.0,0.044977,0.0225,0.117527,0.922222,127,-0.208084,0.727521,2.856156,0.01482,1.868935,5.862045,16.604154,0.492537,133.40082,3.940006,1440,1.512279,7.643076,71.959338,15.203341,-13.647165,1273,True,0.039417,0.084394
ETH,HL,LIGHTER,1440,100.0,-0.009131,-0.005,0.067396,0.808333,318,-1.394019,-0.15,1.050956,0.0,-5.68,-1.267044,2.089006,0.0,,-0.799899,1440,1.066734,2.731236,18.049315,6.708295,-14.242349,1273,True,0.104166,0.095035
BTC,LIGHTER,ASTER,1434,99.583333,-0.008035,-0.008419,0.081902,0.541144,72,-1.41205,-0.147162,1.230225,0.0,-6.50792,0.168175,5.012218,0.024467,,-0.703896,1440,0.702882,2.888579,28.393711,6.925402,-14.275339,1267,True,0.077113,0.069078
BTC,HL,LIGHTER,1440,100.0,-0.023126,-0.005,0.081213,0.793056,136,-1.762031,-0.671258,0.853311,0.0,-10.570954,-2.128364,0.8452,0.0,,-2.025873,1440,0.988802,2.324458,25.159464,4.432682,-14.317919,1273,True,0.10039,0.077264
HYPE,ASTER,LIGHTER,1438,99.861111,-0.005221,-0.005,0.121168,0.756606,176,-1.9081,-0.12,1.52654,0.0,-7.9949,-2.0004,7.1464,0.169158,,-0.457357,1440,1.225062,3.416886,17.90851,7.753836,-14.630958,1271,True,0.086626,0.081405
NVDA,LIGHTER,HL,1440,100.0,0.036708,0.0225,0.103848,0.881944,123,-0.177892,0.54,2.572439,0.009174,1.062832,5.827263,9.166763,0.490966,163.451676,3.215629,1440,1.049084,7.335611,79.047025,15.336278,-15.169318,1273,True,0.041167,0.077875
GOLD,LIGHTER,ASTER,1438,99.861111,-0.011927,-0.04,0.104656,0.782337,234,-1.232,-0.96,2.15356,0.0,-8.645,-6.4166,11.3386,0.154996,,-1.044767,1440,-1.063273,3.775882,16.825602,8.570587,-16.57425,1271,True,0.060549,0.048623
SOL,HL,ASTER,1434,99.583333,-0.033798,-0.0188,0.083502,0.582287,53,-2.388813,-0.732847,0.753767,0.0,-11.366879,-5.620067,1.47623,0.0,,-2.960734,1440,2.135691,2.275567,12.823968,5.687017,-17.365138,1267,True,0.078386,0.044588
ZEC,HL,LIGHTER,1440,100.0,0.014277,-0.005,0.203761,0.264583,28,-1.352634,0.133312,2.659865,0.013409,-9.520425,2.695695,8.314421,0.350353,420.268049,1.25063,1440,-0.809261,6.845489,74.170614,13.910877,-17.512407,1273,True,0.166293,0.180569
SOL,LIGHTER,ASTER,1434,99.583333,-0.036291,-0.017475,0.121101,0.59205,36,-2.186287,-0.6455,0.4618,0.0,-15.197718,-4.9777,0.562477,0.0,,-3.179071,1440,1.444249,2.426311,28.479214,5.469613,-17.56646,1267,True,0.080879,0.044588
ETH,LIGHTER,ASTER,1434,99.583333,-0.037409,-0.037406,0.083228,0.665969,126,-2.2316,-0.846525,0.3392,0.0,-12.18233,-4.511512,-0.615252,0.0,,-3.277043,1440,1.005903,2.241642,16.063975,5.286816,-17.571557,1267,True,0.09493,0.057521
BTC,HL,ASTER,1434,99.583333,-0.031235,-0.032018,0.066341,0.6841,160,-1.942325,-0.845664,0.616894,0.0,-9.50513,-4.494587,1.342202,0.0,,-2.736223,1440,1.691432,2.705641,15.575395,6.350269,-17.597819,1267,True,0.100313,0.069078
ETH,HL,ASTER,1434,99.583333,-0.046558,-0.046763,0.084169,0.700139,196,-2.34919,-1.1089,0.234357,0.0,-13.298371,-6.491893,-2.07668,0.0,,-4.078457,1440,2.072502,2.764376,19.53421,6.154575,-19.976273,1267,True,0.104079,0.057521
